Folio,Edad,Grado,Sexo,EDP,NSE,ZDR,L001,L002,L003,L004,L005
1,19,1,1,0,2,0,1,1,6,1,6
2,19,1,1,0,1,0,6,2,6,2,2
3,18,1,1,0,1,0,6,3,6,6,6
4,19,1,1,0,1,0,3,3,4,1,2
5,19,1,1,0,1,0,3,3,6,1,4
6,18,1,0,0,1,1,1,1,6,1,6
7,17,1,1,0,1,1,4,4,3,1,3
8,18,1,0,0,1,1,2,3,4,1,4
9,17,1,0,0,1,1,2,5,5,1,1
10,17,1,1,0,1,0,1,3,3,1,6
11,19,1,0,0,1,3,1,2,6,3,3
12,17,1,1,0,1,0,1,1,5,1,6
13,18,1,1,0,1,1,3,1,6,1,6
14,17,1,0,0,1,1,1,1,6,1,6
15,19,1,0,0,1,1,1,1,6,1,5
16,17,1,1,0,1,1,1,3,6,1,6
17,17,1,0,0,1,1,2,2,5,2,5
18,19,1,1,0,2,1,3,4,3,1,1
19,18,1,1,0,2,0,2,5,6,1,5
20,20,1,1,0,1,1,1,4,6,1,3
21,19,1,1,0,1,1,6,4,1,1,6
22,20,1,1,0,2,2,1,2,6,1,6
23,19,1,0,0,1,1,1,1,6,1,5
24,19,1,0,0,0,0,3,1,6,1,6
25,17,1,1,0,1,1,6,1,6,3,6
26,18,1,0,0,1,1,3,5,1,5,2
27,18,1,1,0,0,0,2,4,6,1,4
28,18,1,0,0,1,1,3,2,6,1,6
29,18,1,1,0,1,0,5,5,4,2,5
30,19,1,0,0,0,1,1,1,6,1,1
31,16,1,0,0,1,0,3,2,5,1,2
32,19,1,0,0,1,0,4,3,3,2,1
33,20,1,1,0,2,0,5,5,1,4,3
34,19,1,1,0,2,1,2,2,6,1,2
35,17,1,0,0,1,0,3,2,6,1,4
36,17,1,1,0,1,1,6,1,4,1,3
37,20,1,1,0,1,1,3,3,3,1,3
38,17,1,0,0,1,0,3,1,6,6,5
39,17,1,1,0,1,1,3,3,1,1,3
40,17,1,0,0,1,1,1,3,5,3,6
41,18,1,1,0,1,2,1,2,6,1,6
42,16,1,0,0,1,1,2,3,2,1,4
43,17,1,0,0,1,1,3,4,4,1,3
44,18,1,0,0,1,0,2,3,6,1,6
45,17,1,1,0,0,1,4,5,6,2,6
46,19,1,1,0,0,1,6,1,6,1,3
47,18,1,0,0,1,0,4,6,5,1,6
48,17,1,0,0,1,0,6,1,6,1,6
49,16,1,1,0,2,0,3,6,3,1,1
50,19,1,1,0,1,1,2,6,6,1,6
51,17,1,1,0,1,0,1,3,4,6,6
52,18,1,0,0,1,1,1,6,5,1,5
53,19,1,0,0,2,0,1,2,5,1,2
54,19,1,1,0,1,1,6,1,6,5,5
55,17,1,1,0,1,1,3,4,6,1,5
56,18,1,0,0,1,0,3,2,5,3,4
57,19,1,0,0,1,0,4,1,6,6,4
58,17,1,0,0,1,0,1,2,6,1,6
59,17,1,0,0,1,1,5,1,4,1,5
60,19,1,1,0,1,1,1,4,6,1,3
61,17,1,0,0,1,2,6,1,5,1,1
62,19,1,0,0,1,0,1,3,5,1,6
63,17,1,0,0,1,1,4,3,5,2,6
64,17,1,0,0,1,1,1,5,6,1,5
65,19,1,0,0,1,0,1,2,5,2,2
66,20,1,0,0,1,1,3,4,5,1,5
67,18,1,0,0,1,1,1,2,5,3,3
68,19,1,1,0,1,0,5,2,4,1,4
69,17,1,1,0,2,1,3,2,3,3,6
70,18,1,1,0,1,0,1,1,2,1,6
71,17,1,0,0,1,0,1,2,2,1,1
72,19,1,1,0,1,1,4,3,5,2,6
73,17,1,1,0,1,0,3,2,2,5,1
74,17,1,0,0,1,0,1,2,3,6,5
75,16,1,0,0,1,1,2,3,2,1,4
76,18,1,0,0,1,1,5,2,2,3,1
77,17,1,0,0,1,1,1,6,6,1,1
78,17,1,0,0,1,1,4,5,5,1,6
79,19,1,0,0,1,1,5,1,2,1,1
80,17,1,0,0,1,0,3,3,4,1,5
81,22,1,1,0,1,0,1,1,6,1,6
82,19,1,1,0,1,1,1,1,6,1,3
83,18,1,0,0,1,1,2,1,6,1,6
84,18,1,0,0,1,1,3,2,6,1,6
85,17,1,1,0,1,0,3,2,5,3,2
86,17,1,0,0,1,1,5,2,4,1,5
87,17,1,0,0,1,0,6,3,1,3,1
88,19,1,1,0,1,1,4,3,5,2,4
89,17,1,1,0,1,2,2,1,4,2,5
90,22,1,0,0,1,1,1,1,5,1,5
91,16,0,0,1,1,2,2,5,2,2,4
92,17,0,0,1,1,3,1,2,5,2,3
93,16,0,1,1,2,0,4,3,5,1,4
94,17,0,0,1,1,2,2,2,4,1,3
95,16,0,0,1,1,3,5,1,4,1,6
96,16,0,1,1,1,2,2,2,2,3,4
97,16,0,1,1,1,2,1,3,6,1,6
98,16,0,0,1,1,2,1,3,5,1,6
99,16,0,0,1,1,3,1,4,2,5,2
100,15,0,0,1,1,3,1,1,6,1,6
101,16,0,1,1,1,2,1,4,6,2,1
102,16,0,0,1,1,2,4,3,4,2,6
103,17,0,1,1,2,2,3,5,5,3,6
